country,year,p5,g7,brics,oecd,imf_economy
eu,2015,no,yes,no,yes,advanced
argentina,2016,no,no,no,no,emerging
australia,2016,no,no,no,yes,advanced
brazil,2016,no,no,yes,no,emerging
canada,2016,no,yes,no,yes,advanced
china,2016,yes,no,yes,no,emerging
france,2016,yes,yes,no,yes,advanced
germany,2016,no,yes,no,yes,advanced
india,2016,no,no,yes,no,emerging
indonesia,2016,no,no,no,no,emerging
italy,2016,no,yes,no,yes,advanced
japan,2016,no,yes,no,yes,advanced
korea,2016,no,no,no,yes,advanced
mexico,2016,no,no,no,yes,emerging
russia,2016,yes,no,yes,no,emerging
saudi,2016,no,no,no,no,emerging
safrica,2016,no,no,yes,no,emerging
turkey,2016,no,no,no,yes,emerging
uk,2016,yes,yes,no,yes,advanced
us,2016,yes,yes,no,yes,advanced
eu,2016,no,yes,no,yes,advanced
argentina,2017,no,no,no,no,emerging
australia,2017,no,no,no,yes,advanced
brazil,2017,no,no,yes,no,emerging
canada,2017,no,yes,no,yes,advanced
china,2017,yes,no,yes,no,emerging
france,2017,yes,yes,no,yes,advanced
germany,2017,no,yes,no,yes,advanced
india,2017,no,no,yes,no,emerging
indonesia,2017,no,no,no,no,emerging
italy,2017,no,yes,no,yes,advanced
japan,2017,no,yes,no,yes,advanced
korea,2017,no,no,no,yes,advanced
mexico,2017,no,no,no,yes,emerging
russia,2017,yes,no,yes,no,emerging
saudi,2017,no,no,no,no,emerging
safrica,2017,no,no,yes,no,emerging
turkey,2017,no,no,no,yes,emerging
uk,2017,yes,yes,no,yes,advanced
us,2017,yes,yes,no,yes,advanced
eu,2017,no,yes,no,yes,advanced
argentina,2018,no,no,no,no,emerging
australia,2018,no,no,no,yes,advanced
brazil,2018,no,no,yes,no,emerging
canada,2018,no,yes,no,yes,advanced
china,2018,yes,no,yes,no,emerging
france,2018,yes,yes,no,yes,advanced
germany,2018,no,yes,no,yes,advanced
india,2018,no,no,yes,no,emerging
indonesia,2018,no,no,no,no,emerging
italy,2018,no,yes,no,yes,advanced
japan,2018,no,yes,no,yes,advanced
korea,2018,no,no,no,yes,advanced
mexico,2018,no,no,no,yes,emerging
russia,2018,yes,no,yes,no,emerging
saudi,2018,no,no,no,no,emerging
safrica,2018,no,no,yes,no,emerging
turkey,2018,no,no,no,yes,emerging
uk,2018,yes,yes,no,yes,advanced
us,2018,yes,yes,no,yes,advanced
eu,2018,no,yes,no,yes,advanced
argentina,2019,no,no,no,no,emerging
australia,2019,no,no,no,yes,advanced
brazil,2019,no,no,yes,no,emerging
canada,2019,no,yes,no,yes,advanced
china,2019,yes,no,yes,no,emerging
france,2019,yes,yes,no,yes,advanced
germany,2019,no,yes,no,yes,advanced
india,2019,no,no,yes,no,emerging
indonesia,2019,no,no,no,no,emerging
italy,2019,no,yes,no,yes,advanced
japan,2019,no,yes,no,yes,advanced
korea,2019,no,no,no,yes,advanced
mexico,2019,no,no,no,yes,emerging
russia,2019,yes,no,yes,no,emerging
saudi,2019,no,no,no,no,emerging
safrica,2019,no,no,yes,no,emerging
turkey,2019,no,no,no,yes,emerging
uk,2019,yes,yes,no,yes,advanced
us,2019,yes,yes,no,yes,advanced
eu,2019,no,yes,no,yes,advanced
argentina,2020,no,no,no,no,emerging
australia,2020,no,no,no,yes,advanced
brazil,2020,no,no,yes,no,emerging
canada,2020,no,yes,no,yes,advanced
china,2020,yes,no,yes,no,emerging
france,2020,yes,yes,no,yes,advanced
germany,2020,no,yes,no,yes,advanced
india,2020,no,no,yes,no,emerging
indonesia,2020,no,no,no,no,emerging
italy,2020,no,yes,no,yes,advanced
japan,2020,no,yes,no,yes,advanced
korea,2020,no,no,no,yes,advanced
mexico,2020,no,no,no,yes,emerging
russia,2020,yes,no,yes,no,emerging
saudi,2020,no,no,no,no,emerging
safrica,2020,no,no,yes,no,emerging
turkey,2020,no,no,no,yes,emerging
uk,2020,yes,yes,no,yes,advanced
us,2020,yes,yes,no,yes,advanced
eu,2020,no,yes,no,yes,advanced
argentina,2021,no,no,no,no,emerging
australia,2021,no,no,no,yes,advanced
brazil,2021,no,no,yes,no,emerging
canada,2021,no,yes,no,yes,advanced
china,2021,yes,no,yes,no,emerging
france,2021,yes,yes,no,yes,advanced
germany,2021,no,yes,no,yes,advanced
india,2021,no,no,yes,no,emerging
indonesia,2021,no,no,no,no,emerging
italy,2021,no,yes,no,yes,advanced
japan,2021,no,yes,no,yes,advanced
korea,2021,no,no,no,yes,advanced
mexico,2021,no,no,no,yes,emerging
russia,2021,yes,no,yes,no,emerging
saudi,2021,no,no,no,no,emerging
safrica,2021,no,no,yes,no,emerging
turkey,2021,no,no,no,yes,emerging
uk,2021,yes,yes,no,yes,advanced
us,2021,yes,yes,no,yes,advanced
eu,2021,no,yes,no,yes,advanced
argentina,2022,no,no,no,no,emerging
australia,2022,no,no,no,yes,advanced
brazil,2022,no,no,yes,no,emerging
canada,2022,no,yes,no,yes,advanced
china,2022,yes,no,yes,no,emerging
france,2022,yes,yes,no,yes,advanced
germany,2022,no,yes,no,yes,advanced
india,2022,no,no,yes,no,emerging
indonesia,2022,no,no,no,no,emerging
italy,2022,no,yes,no,yes,advanced
japan,2022,no,yes,no,yes,advanced
korea,2022,no,no,no,yes,advanced
mexico,2022,no,no,no,yes,emerging
russia,2022,yes,no,yes,no,emerging
saudi,2022,no,no,no,no,emerging
safrica,2022,no,no,yes,no,emerging
turkey,2022,no,no,no,yes,emerging
uk,2022,yes,yes,no,yes,advanced
us,2022,yes,yes,no,yes,advanced
eu,2022,no,yes,no,yes,advanced
argentina,2023,no,no,no,no,emerging
australia,2023,no,no,no,yes,advanced
brazil,2023,no,no,yes,no,emerging
canada,2023,no,yes,no,yes,advanced
china,2023,yes,no,yes,no,emerging
france,2023,yes,yes,no,yes,advanced
germany,2023,no,yes,no,yes,advanced
india,2023,no,no,yes,no,emerging
indonesia,2023,no,no,no,no,emerging
italy,2023,no,yes,no,yes,advanced
japan,2023,no,yes,no,yes,advanced
korea,2023,no,no,no,yes,advanced
mexico,2023,no,no,no,yes,emerging
russia,2023,yes,no,yes,no,emerging
saudi,2023,no,no,no,no,emerging
safrica,2023,no,no,yes,no,emerging
turkey,2023,no,no,no,yes,emerging
uk,2023,yes,yes,no,yes,advanced
us,2023,yes,yes,no,yes,advanced
eu,2023,no,yes,no,yes,advanced
